时间,1月29日,,,,,,,,,
省份,重庆市,,,,,,,,,
累计确诊病例,165,重症,18,危重,4,死亡,0,出院,1,
确诊病例中,万州区,24,黔江区,1,涪陵区,1,渝中区,2,大渡口区,6,江北区,6,九龙坡区,5,南岸区,2,渝北区,7,巴南区,1,长寿区,7,江津区,3,合川区,6,永川区,3,綦江区,4,大足区,2,璧山区,4,铜梁区,2,潼南区,2,开州区,13,梁平区,1,武隆区,1,城口县,1,丰都县,3,垫江县,5,忠县,11,云阳县,12,奉节县,4,巫山县,5,巫溪县,5,石柱县,7,秀山县,1,两江新区,8,
重症病例中,万州区,3,大渡口区,2,江北区,1,渝北区,1,长寿区,3,江津区,1,永川区,1,綦江区,1,璧山区,2,垫江县,1,忠县,云阳县,1,
危重病例中,万州区,1,江北区,1,九龙坡区,1,铜梁区,1,,
死亡病例中,,,,,,,,,,
出院病例中,巫山县,1,,,,,,,,
累计追踪密切接触者,3169,解除医学观察,256,正在接受医学观察,3363,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://m.weibo.cn/status/4466324828738497?,,,,,,,,,
原始数据链接2,http://society.people.com.cn/n1/2020/0130/c1008-31564730.html,,,,,,,,,
