时间,1月31日,,,,,,,,
省份,澳门特别行政区,,,,,,,,
累计确诊病例,7,重症,0,危重,0,死亡,0,出院,0
确诊病例中,澳门,7,,,,,,,
重症病例中,澳门,0,,,,,,,
危重病例中,澳门,0,,,,,,,
死亡病例中,澳门,0,,,,,,,
出院病例中,澳门,0,,,,,,,
累计追踪密切接触者,0,解除医学观察,0,正在接受医学观察,0,疑似病例,9,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
原始数据链接1,https://www.facebook.com/pg/NCV.Macao/posts/,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
备注：,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，加粗的内容不可删除,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,
