时间,1月31日,,,,,,,,,,,,,,,,,,,,,,,
省份,北京市,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,156,重症,14,危重,2,死亡,1,出院,5,,,,,,,,,,,,,,,
确诊病例中,东城区,3,西城区,17,朝阳区,27,海淀区,35,丰台区,12,石景山区,3,门头沟,1,通州区,13,顺义区,2,大兴区,19,昌平区,12,外地来京人员,11
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,0,解除医学观察,0,正在接受医学观察,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,"https://m.weibo.cn/status/4467124950636407?sourceType=qq&from=1097395010&wm=9006_2001&featurecode=newtitle
",,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,
