时间,1月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,重庆市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,238,重症,20,危重,6,死亡,1,出院,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,万州区,33,黔江区,2,涪陵区,1,渝中区,7,大渡口区,6,江北区,12,九龙坡区,9,南岸区,3,渝北区,11,巴南区,1,长寿区,10,江津区,3,合川区,8,永川区,3,綦江区,4,大足区,4,璧山区,8,铜梁区,2,潼南区,2,开州区,16,梁平区,2,武隆区,1,城口县,1,丰都县,4,垫江县,10,忠县,12,云阳县,17,奉节县,5,巫山县,6,巫溪县,10,石柱县,10,秀山县,1,两江新区,10,沙坪坝区,2
重症病例中,万州区,3,大渡口区,2,江北区,1,渝北区,1,长寿区,3,江津区,2,丰都县,1,綦江区,1,奉节县,1,垫江县,1,忠县,1,云阳县,1,璧山区,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,万州区,1,江北区,1,九龙坡区,1,铜梁区,1,开州区,1,忠县,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,九龙坡区,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,巫山县,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,3169,解除医学观察,256,正在接受医学观察,3363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.cq.gov.cn/tzgg/20200201/250657.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
