时间,1月31日,,,,,,,,,,,,,,,,,
省份,甘肃省,,,,,,,,,,,,,,,,,
累计确诊病例,35,重症,5,危重,1,死亡,0,出院,0,,,,,,,,,
确诊病例中,兰州市,20,白银市,1,临夏州,2,定西市,2,张掖市,2,陇南市,3,金昌市,1,天水市,3,平凉市,1
重症病例中,兰州市,5,,,,,,,,,,,,,,,,
危重病例中,兰州市,1,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,931,解除医学观察,45,正在接受医学观察,886,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjk.gansu.gov.cn/single/10910/83438.html,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,
