时间,1月31日,,,,,,,,,,,,,,,
省份,贵州省,,,,,,,,,,,,,,,
累计确诊病例,29,重症,5,危重,0,死亡,0,出院,2,,,,,,,
确诊病例中,贵阳市,4,遵义市,4,六盘水市,8,毕节市,3,铜仁市,3,黔东南州,2,黔南州,4,黔西南州,1
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,贵阳市,1,遵义市,0,六盘水市,0,毕节市,0,铜仁市,1,黔东南州,0,黔南州,0,黔西南州,0
累计追踪密切接触者,469,解除医学观察,40,正在接受医学观察,416,疑似病例,3,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，加粗的内容不可删除,,,,,,,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,,,,,,,
