时间,1月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,海南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,57,重症,9,危重,0,死亡,1,出院,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,海口市,11,三亚市,15,儋州市,6,琼海市,4,万宁市,8,东方市,1,澄迈县,2,临高县,3,陵水县,3,琼中县,1,定安县,1,昌江县,1,乐东县,1
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,1549,解除医学观察,489,正在接受医学观察,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://hainan.sina.cn/news/hnyw/2020-02-01/detail-iimxyqvy9439137.d.html?from=wap&ivk_sa=1023197a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
