时间,2月1日,,,,,,,,,
省份,北京市,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,183,重症,14,危重,1,死亡,1,出院,9,,,,,,,,,,,,,,,
确诊病例中,东城区,3,西城区,17,朝阳区,35,海淀区,41,丰台区,16,石景山区,4,门头沟,1,房山区,2,通州区,13,顺义区,6,大兴区,21,昌平区,12,怀柔区,1,外地来京人员,11,11
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,0,解除医学观察,0,正在接受医学观察,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdyqtb/202002/t20200202_1622645.html,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,
