时间,2月1日,,,,,,,,,,,,,,,,,
省份,福建省,,,,,,,,,,,,,,,,,
累计确诊病例,144,重症,8,危重,3,死亡,0,出院,0,,,,,,,,,
确诊病例中,福州市,39,厦门市,17,漳州市,11,泉州市,24,三明市,10,莆田市,25,南平市,8,龙岩市,1,宁德,9
重症病例中,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,0,解除医学观察,193,正在接受医学观察,3048,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200201_5187438.htm,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,
