时间,2月1日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,95,重症,13,危重,0,死亡,2,出院,2,,,,,,,,,,,,,
确诊病例中,哈尔滨市,34,齐齐哈尔市,3,牡丹江市,7,佳木斯市,11,大庆市,8,鸡西市,4,双鸭山市,4,七台河市,6,鹤岗市,1,绥化市,14,黑河市,1,大兴安岭地区,2,
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,,,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,2,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,2931,解除医学观察,1008,正在接受医学观察,2807,疑似病例,172,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/all/typeid/42,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



