时间,2月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,493,重症,32,危重,12,死亡,2,出院,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,郑州市,65,开封市,11,洛阳市,7,平顶山市,14,安阳市,24,鹤壁市,8,新乡市,21,焦作市,7,濮阳市,3,许昌市,13,漯河市,16,三门峡市,7,南阳市,62,商丘市,36，周口市,40,信阳市,88,驻马店市,46,滑县,1,长垣市,2,永城市,8，邓州市,14,
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,11012,解除医学观察,1263,正在接受医学观察,7162,疑似病例,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://weibo.com/hnswsjsw?is_hot=1#_loginLayer_1580571888867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
