时间,2月2日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,724,重症,58,危重,12,死亡,0,出院,36,
确诊病例中,杭州市,118,宁波市,75,温州市,291,湖州市,9,嘉兴市,19,绍兴市,30,金华市,36,衢州市,14,舟山市,7,台州市,109,丽水市,16,
重症病例中,杭州市,10,宁波市,6,温州市,19,嘉兴市,2,绍兴市,7,金华市,4,衢州市,2,台州市,6,丽水市,2,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,2,宁波市,1,温州市,15,绍兴市,2,金华市,6,舟山市,2,台州市,7,丽水市,1,
累计追踪密切接触者,12673,解除医学观察,1595,正在接受医学观察,10566,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://finance.sina.com.cn/roll/2020-02-01/doc-iimxxste8008536.shtml,,,,,,,,,
原始数据链接2,,,,,,,,,,
