时间,2月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,764,重症,38,危重,19,死亡,2,出院,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,郑州市,92,开封市,17,洛阳市,17,平顶山市,34,安阳市,35,鹤壁市,10,新乡市,39,焦作市,15,濮阳市,4,许昌市,24,漯河市,24,三门峡市,7,南阳市,107,商丘市,61,信阳市,138,周口市,56,驻马店市,82,济源示范区,2
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,16088,解除医学观察,2285,正在接受医学观察,9695,疑似病例,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.dahepiao.com/news1/20200205118856.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
