时间,2月4日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,16678,重症,1809,危重,711,死亡,479,出院,520,
确诊病例中,武汉市,8351,黄石市,509,十堰市,318,襄阳市,735,宜昌市,496,荆州市,713,荆门市,422,鄂州市,382,孝感市,1120,黄冈市,1645,咸宁市,384,随州市,706,恩施州,138,仙桃市,225,天门市,128,潜江市,54,神农架林区,10,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,362,黄石市,2,襄阳市,2,宜昌市,4,荆州市,9,荆门市,16,鄂州市,18,孝感市,18,黄冈市,25,随州市,8,仙桃市,4,天门市,10,潜江市,1
出院病例中,
累计追踪密切接触者,81039,解除医学观察,-1,正在接受医学观察,66764,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200205_2019293.shtml,,,,,,,,,
原始数据链接2,,,,,,,,,,
