时间,2月6日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,914,重症,48,危重,27,死亡,3,出院,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,郑州市,112,开封市,20,洛阳市,24,平顶山市,46,安阳市,40,鹤壁市,11,新乡市,41,焦作市,18,濮阳市,5,许昌市,28,漯河市,26,三门峡市,7,南阳市,118,商丘市,72,信阳市,176,周口市,60,驻马店市,106,济源示范区,4,
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,19555,解除医学观察,3356,正在接受医学观察,10138,疑似病例,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657835978129143517&wfr=spider&for=pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
