时间,2月7日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,227,重症,38,危重,-1,死亡,5,出院,12,,,,,,,,,,,,,
确诊病例中,哈尔滨市,99,双鸭山市,36,绥化市,36,鸡西市,28,齐齐哈尔市,27,佳木斯市,13,大庆市,13,牡丹江市,12,七台河市,11,鹤岗市,3,大兴安岭地区,2,黑河市,2
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,大庆市,1,双鸭山市,2,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,9,双鸭山市,1,佳木斯市,1,绥化市,1,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,7965,解除医学观察,3817,正在接受医学观察,4121,疑似病例,234,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.chinanews.com/sh/2020/02-08/9083256.shtml,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



