时间,2月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,981,重症,58,危重,28,死亡,4,出院,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,信阳市,192,南阳市,128,郑州市,120,驻马店市,113,商丘市,76,周口市,62,平顶山市,48,安阳市,43,新乡市,43,许昌市,30,漯河市,29,洛阳市,25,开封市,21,焦作市,20,鹤壁市,13,濮阳市,7,三门峡市,7,济源示范区,4
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,20928,解除医学观察,3516,正在接受医学观察,10187,疑似病例,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://hn.cnr.cn/hngd/20200208/t20200208_524965523.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
