时间,2月7日,,,,,,,,,
省份,江苏省,,,,,,,,,
累计确诊病例,439,重症,4,危重,2,死亡,0,出院,43,
确诊病例中,南京市,65,无锡市,34,徐州市,52,常州市,31,苏州市,72,南通市,31,连云港市,27,淮安市,40,盐城市,17,扬州市,17,镇江市,11,泰州市,30,宿迁市,12
重症病例中,南京市,1,苏州市,2,南通市,1,,,,,,,,
危重病例中,徐州市,1,连云港市,1,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,南京市,15,无锡市,1,徐州市,3,常州市,5,苏州市,4,南通市,2,连云港市,2,淮安市,2,盐城市,3,扬州市,2,镇江市,1,泰州市,3
累计追踪密切接触者,8533,解除医学观察,3077,正在接受医学观察,5456,疑似病例,-1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://society.people.com.cn/n1/2020/0208/c1008-31577026.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
