时间,2月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,838,重症,60,危重,0,死亡,1,出院,159,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,205,衡阳市,45,株洲市,58,湘潭市,28,邵阳市,87,岳阳市,115,常德市,66,张家界市,5,益阳市,46,郴州市,32,永州市,40,怀化市,39,娄底市,64,湘西自治州,8
重症病例中,长沙市,23,衡阳市,4,株洲市,5,湘潭市,3,邵阳市,5,岳阳市,1,常德市,6,益阳市,3,永州市,2,怀化市,3,娄底市,5,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,27,衡阳市,14,株洲市,9,湘潭市,10,邵阳市,18,岳阳市,10,常德市,15,张家界市,2,益阳市,10,郴州市,8,永州市,10,怀化市,15,娄底市,8,湘西自治州,3
累计追踪密切接触者,21385,解除医学观察,12810,正在接受医学观察,8575,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://hn.people.com.cn/BIG5/n2/2020/0209/c337651-33778016.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
