时间,2月8日,,,,,,,,,
省份,陕西省,,,,,,,,,
累计确诊病例,208,重症,1,危重,1,死亡,0,出院,20,
确诊病例中,西安市,96,宝鸡市,13,咸阳市,16,铜川市,8,渭南市,13,延安市,8,榆林市,3,汉中市,21,安康市,21,商洛市,7,杨凌示范区,1,韩城市,1,
重症病例中,商洛市,1,,,,,,,,
危重病例中,西安市,1,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,西安市,6,安康市,1,宝鸡市,2,咸阳市,2,铜川市,2,商洛市,1,
累计追踪密切接触者,10022,解除医学观察,4626,正在接受医学观察,10022,疑似病例,343,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://sxwjw.shaanxi.gov.cn/art/2020/2/9/art_9_67878.html,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1658015969004648635&wfr=spider&for=pc,,,,,,,,,
