时间,2月9日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,331,重症,44,危重,0,死亡,7,出院,15,,,,,,,,,,,,,,
确诊病例中,哈尔滨市,128,双鸭山市,38,绥化市,37,鸡西市,34,齐齐哈尔市,30,佳木斯市,14,七台河市,14,大庆市,13,牡丹江市,12,鹤岗市,5,黑河市,4,大兴安岭地区,2
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,3,大庆市,1,双鸭山市,2,齐齐哈尔市,1,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,9,双鸭山市,1,佳木斯市,1,绥化市,1,牡丹江市,1,鹤岗市,1,鸡西市,1,,,,,,,,,,,,,
累计追踪密切接触者,9922,解除医学观察,5516,正在接受医学观察,4445,疑似病例,224,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://finance.chinanews.com/kong/2020/02-10/9085069.shtml,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



