时间,2月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,879,重症,117,危重,0,死亡,1,出院,186,,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,213,衡阳市,45,株洲市,61,湘潭市,31,邵阳市,89,岳阳市,124,常德市,72,张家界市,5,益阳市,53,郴州市,32,永州市,41,怀化市,39,娄底市,66,湘西自治州,8
重症病例中,长沙市,24,衡阳市,4,株洲市,6,湘潭市,5,邵阳市,4,岳阳市,2,常德市,5,益阳市,4,永州市,2,怀化市,3,娄底市,6
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,33,衡阳市,14,株洲市,10,湘潭市,11,邵阳市,21,岳阳市,17,常德市,15,张家界市,2,益阳市,15,郴州市,8,永州市,13,怀化市,15,娄底市,8,湘西自治州,4
累计追踪密切接触者,22289,解除医学观察,14154,正在接受医学观察,8135,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://hn.people.com.cn/BIG5/n2/2020/0209/c337651-33778016.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
