时间,2月9日,,,,,,,,,
省份,云南省,,,,,,,,,
累计确诊病例,141,重症,14,危重,3,死亡,0,出院,18,
确诊病例中,昆明市,42,西双版纳州,15,玉溪市,14,保山市,9,昭通市,12,大理州,11,丽江市,7,曲靖市,11,红河州,5,普洱市,4,德宏州,5,楚雄州,4,文山州,1,临沧市,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,红河州,1,大理州,1,曲靖市,1,昆明市,6,昭通市,1,玉溪市,1,丽江市,1,
累计追踪密切接触者,2984,解除医学观察,4589,正在接受医学观察,2984,疑似病例,125,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,,,,,,
原始数据链接2,http://news.yninfo.com/yn/11518.jhtml,,,,,,,,,
原始数据链接2,https://new.qq.com/omn/20200208/20200208A049A600,,,,,,,,,
