时间,2月10日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,360,重症,52,危重,-1,死亡,8,出院,27,,,,,,,,,,,,,,,
确诊病例中,哈尔滨市,146,绥化市,39,鸡西市,38,双鸭山市,38,齐齐哈尔市,32,佳木斯市,15,七台河市,15,大庆市,14,牡丹江市,12,鹤岗市,5,黑河市,4,大兴安岭地区,2
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,4,大庆市,1,双鸭山市,2,齐齐哈尔市,1,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,15,双鸭山市,1,佳木斯市,5,绥化市,3,牡丹江市,1,鹤岗市,1,鸡西市,1,,,,,,,,,,,,,
累计追踪密切接触者,10800,解除医学观察,6492,正在接受医学观察,4348,疑似病例,181,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7771/navid/42/id/3,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



