时间,2月11日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,436,重症,0,危重,17,死亡,1,出院,85,
确诊病例中,成都市,125,南充市,34,广安市,30,绵阳市,22,内江市,20,自贡市,9,达州市,33,巴中市,22,攀枝花市,13,德阳市,16,宜宾市,10,泸州市,19,遂宁市,10,雅安市,6,甘孜州,36,凉山州,10,广元市,6,乐山市,3,眉山市,8,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,30,绵阳市,4,广安市,3,泸州市,2,遂宁市,2,广元市,1,宜宾市,3,南充市,2,达州市,5,眉山市,1,自贡市,2,攀枝花市,8,内江市,2,雅安市,2,巴中市,1,甘孜州,2,资阳市,1,凉山州,1,
累计追踪密切接触者,5805,解除医学观察,8082,正在接受医学观察,5805,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2020/2/12/1af606f1e4c84a0e83f0f593d3d46703.shtml,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657508842790022068&wfr=spider&for=pc,,,,,,,,,
