时间,2月13日,,,,,,,,,
省份,上海市,,,,,,,,,
累计确诊病例,318,重症,5,危重,11,死亡,1,出院,62,
确诊病例中,其他区,102,浦东,56,静安区,16,闵行区,18,长宁区,13,黄浦区,6,徐汇区,17,虹口区,7,宝山区,20,奉贤区,9,松江区,14,普陀区,11,杨浦区,9,嘉定区,9,青浦区,5,金山区,5,崇明县,3,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,其他区,27,浦东区,12,静安区,3,徐汇区,2,闵行区,4,长宁区,3,奉贤区,1,虹口区,2,宝山区,1,松江区,1,嘉定区,1,黄浦区,1,青浦区,2,金山区,1,
累计追踪密切接触者,-1,解除医学观察,1494,正在接受医学观察,0,疑似病例,156,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sh.gov.cn/xwfb/20200214/9988262ea507402485725c224e1a169f.html,,,,,,,,,
原始数据链接2,,,,,,,,,,

