时间,2月16日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,541,重症,16,危重,14,死亡,2,出院,175,
确诊病例中,济南市,47,青岛市,57,淄博市,29,枣庄市,24,烟台市,47,潍坊市,44,济宁市,52,泰安市,32,威海市,38,日照市,16,临沂市,47,德州市,37,聊城市,38,滨州市,15,菏泽市,18,
重症病例中,青岛市,2,淄博市,1,临淄市,2,烟台市,4,潍坊市,2,济宁市,2,威海市,1,德州市,3,聊城市,1,
危重病例中,淄博市,1,青岛市,1,枣庄市,1,潍坊市,2,泰安市,1,威海市,1,临沂市,3,德州市,4,
死亡病例中,青岛市,1,德州市,1,,,,,,
出院病例中,济南市,11,青岛市,26,淄博市,4,枣庄市,4,烟台市,13,潍坊市,10,济宁市,18,泰安市,5,威海市,9,日照市,3,临沂市,32,德州市,7,聊城市,11,滨州市,9,菏泽市,13,
累计追踪密切接触者,15756,解除医学观察,12204,正在接受医学观察,3263,疑似病例,67,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200217_2578879.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
